date,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,instrument
2023-01-03,2.466,2.477,2.485,2.441,6994091,1844826513.0,1.78,0.08,0.002,8.58,510050
2023-01-04,2.478,2.486,2.494,2.472,6811505,1810452570.0,0.89,0.36,0.009,8.35,510050
2023-01-05,2.506,2.536,2.541,2.502,7673493,2071085590.0,1.57,2.01,0.05,9.41,510050
2023-01-06,2.538,2.551,2.557,2.535,5207344,1416608193.0,0.87,0.59,0.015,6.39,510050
2023-01-09,2.56,2.576,2.584,2.557,5767041,1584096617.0,1.06,0.98,0.025,7.07,510050
2023-01-10,2.576,2.568,2.584,2.566,3703964,1017608300.0,0.7,-0.31,-0.008,4.54,510050
2023-01-11,2.572,2.574,2.596,2.568,5501241,1517125195.0,1.09,0.23,0.006,6.75,510050
2023-01-12,2.583,2.58,2.587,2.568,3760025,1034524416.0,0.74,0.23,0.006,4.61,510050
2023-01-13,2.588,2.625,2.626,2.584,6211516,1728075866.0,1.63,1.74,0.045,7.62,510050
2023-01-16,2.627,2.673,2.707,2.626,14942685,4262365349.0,3.09,1.83,0.048,18.33,510050
2023-01-17,2.671,2.664,2.676,2.65,7745356,2196088455.0,0.97,-0.34,-0.009,9.5,510050
2023-01-18,2.665,2.645,2.676,2.642,4374145,1236940535.0,1.28,-0.71,-0.019,5.37,510050
2023-01-19,2.637,2.655,2.657,2.62,10608961,2985736641.0,1.4,0.38,0.01,13.01,510050
2023-01-20,2.664,2.674,2.684,2.657,5153371,1465592269.0,1.02,0.72,0.019,6.32,510050
2023-01-30,2.726,2.675,2.731,2.669,7222290,2069324928.0,2.32,0.04,0.001,8.86,510050
2023-01-31,2.676,2.645,2.691,2.64,10023087,2836178472.0,1.91,-1.12,-0.03,12.29,510050
2023-02-01,2.652,2.656,2.657,2.613,8801468,2472760206.0,1.66,0.42,0.011,10.8,510050
2023-02-02,2.665,2.65,2.666,2.631,6050659,1704484775.0,1.32,-0.23,-0.006,7.42,510050
2023-02-03,2.632,2.609,2.641,2.586,7186050,1995759622.0,2.08,-1.55,-0.041,8.81,510050
2023-02-06,2.582,2.565,2.583,2.55,8026408,2196833433.0,1.26,-1.69,-0.044,9.84,510050
2023-02-07,2.574,2.573,2.585,2.563,5385890,1480671975.0,0.86,0.31,0.008,6.61,510050
2023-02-08,2.576,2.566,2.595,2.562,4116146,1130538490.0,1.28,-0.27,-0.007,5.05,510050
2023-02-09,2.562,2.595,2.602,2.56,7419446,2051189036.0,1.64,1.13,0.029,9.1,510050
2023-02-10,2.588,2.583,2.591,2.572,4470684,1231360996.0,0.73,-0.46,-0.012,5.48,510050
2023-02-13,2.572,2.601,2.605,2.564,6914539,1910593163.0,1.59,0.7,0.018,8.48,510050
2023-02-14,2.602,2.612,2.613,2.593,3698114,1026498605.0,0.77,0.42,0.011,4.54,510050
2023-02-15,2.611,2.586,2.617,2.581,4629191,1279511916.0,1.38,-1.0,-0.026,5.68,510050
2023-02-16,2.59,2.576,2.623,2.557,9284073,2574727599.0,2.55,-0.39,-0.01,11.39,510050
2023-02-17,2.571,2.547,2.593,2.544,8286179,2274513725.0,1.9,-1.13,-0.029,10.16,510050
2023-02-20,2.555,2.624,2.627,2.548,16163012,4457500171.0,3.1,3.02,0.077,19.82,510050
2023-02-21,2.623,2.638,2.642,2.614,12571254,3523700040.0,1.07,0.53,0.014,15.42,510050
2023-02-22,2.624,2.601,2.631,2.598,9068767,2528661213.0,1.25,-1.4,-0.037,11.12,510050
2023-02-23,2.604,2.6,2.623,2.588,5492708,1525445871.0,1.35,-0.04,-0.001,6.74,510050
2023-02-24,2.599,2.562,2.599,2.553,5845899,1603326991.0,1.77,-1.46,-0.038,7.17,510050
2023-02-27,2.549,2.559,2.571,2.545,3753529,1026115220.0,1.01,-0.12,-0.003,4.6,510050
2023-02-28,2.565,2.572,2.575,2.534,5747270,1569746201.0,1.6,0.51,0.013,7.05,510050
2023-03-01,2.57,2.603,2.618,2.563,10752492,2982122672.0,2.14,1.21,0.031,13.19,510050
2023-03-02,2.598,2.602,2.616,2.593,4911639,1364403340.0,0.88,-0.04,-0.001,6.02,510050
2023-03-03,2.611,2.605,2.618,2.589,5105758,1418655537.0,1.11,0.12,0.003,6.26,510050
